;x;Species_Name;Family;Subfamily;Tribe;Genus;Species;Antena
39;Bathysolen_nubilus_CMF_0602;Bathysolen_nubilus;Coreidae;Pseudophloeinae;Pseudophloeini;Bathysolen;sp;1
40;Coriomeris_affinis_CMF_0935;Coriomeris_affinis;Coreidae;Pseudophloeinae;Pseudophloeini;Coriomeris;sp;1
43;Strobilotoma_typhaecornis_CMF_0923;Strobilotoma_typhaecornis;Coreidae;Pseudophloeinae;Pseudophloeini;Strobilotoma;sp;1
44;Ceraleptus_gracilicornis_CMF_0988;Ceraleptus_gracilicornis;Coreidae;Pseudophloeinae;Pseudophloeini;Ceraleptus;sp;1
45;Nemocoris_falleni_CMF_0994;Nemocoris_falleni;Coreidae;Pseudophloeinae;Pseudophloeini;Nemocoris;sp;1
47;Hoplolomia_scabricula_CMF_0857;Hoplolomia_scabricula;Coreidae;Pseudophloeinae;Pseudophloeini;Hoplolomia;sp;1
48;Pseudomyla_cornuta_CMF_01122;Pseudomyla_cornuta;Coreidae;Pseudophloeinae;Pseudophloeini;Pseudomyla;sp;1
49;Psilolomia_brunneofusca_CMF_0803;Psilolomia_brunneofusca;Coreidae;Pseudophloeinae;Pseudophloeini;Psilolomia;sp;1
51;Mevanidea_hystrix_CMF_1088;Mevanidea_hystrix;Coreidae;Pseudophloeinae;Pseudophloeini;Mevanidea;sp;1
53;Paramyla_suspecta_CMF_0807;Paramyla_suspecta;Coreidae;Pseudophloeinae;Pseudophloeini;Paramyla;sp;0
54;Myla_sp_CMF_0091;Myla_sp.;Coreidae;Pseudophloeinae;Pseudophloeini;Myla;sp;1
55;Vilga_dallasi_CMF_1047;Vilga_dallasi;Coreidae;Pseudophloeinae;Pseudophloeini;Vilga;sp;1
58;Clavigralla_elongata_CMF_0944;Clavigralla_elongata;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralla;sp;1
63;Clavigralloides_acantharis_CMF_0797;Clavigralloides_acantharis;Coreidae;Pseudophloeinae;Clavigrallini;Clavigralloides;sp;1
64;Gralliclava_horrens_CMF_1165;Gralliclava_horrens;Coreidae;Pseudophloeinae;Clavigrallini;Gralliclava;sp;1
66;Leptocorisa_acuta_CMF_0645;Leptocorisa_acuta;Alydidae;Micrelytrinae;Leptocorisini;Leptocorisa;sp;1
68;Stenocoris_filiformis_CMF_0758;Stenocoris_filiformis;Alydidae;Micrelytrinae;Leptocorisini;Stenocoris;sp;1
72;Mutusca_brevicornis_CMF_0417;Mutusca_brevicornis;Alydidae;Micrelytrinae;Leptocorisini;Mutusca;sp;1
73;Micrelytrinae_sp_CMF_0161_STANDARD;Darmistus_sp.;Alydidae;Micrelytrinae;Micrelytrini;Darmistus;sp;1
74;Hydara_tenuicornis_CMF_0040;Hydara_tenuicornis;Coreidae;Hydarinae;;Hydara;sp;1
75;Hydarella_chiangdaoensis_CMF_1129;Hydarella_chiangdaoensis;Coreidae;Hydarinae;;Hydarella;sp;1
76;Hydaropsis_longirostris_CMF_0817;Hydaropsis_longirostris;Coreidae;Hydarinae;;Hydaropsis;sp;1
77;Madura_fuscoclavata_CMF_1078;Madura_fuscoclavata;Coreidae;Hydarinae;;Madura;sp;2
78;Maduranoides_chemsaki_CMF_1017;Maduranoides_chemsaki;Coreidae;Hydarinae;;Maduranoides;sp;2
79;Halyomorpha_halys_halhal1;Halyomorpha_halys;Pentatomidae;Pentatominae;Cappaeini;Halyomorpha;sp;1
81;Dysdercus_mimus_CMF_0110;Dysdercus_mimus;Pyrrhocoridae;;;Dysdercus;sp;1
82;Largus_sp_CMF_0230;Largus_sp.;Largidae;Larginae;Largini;Largus;sp;1
83;Oncopeltus_fasciatus_oncfas1;Oncopeltus_fasciatus;Lygaeidae;Lygaeinae;Lygaeini;Oncopeltus;sp;1
84;nr_Oedancala_sp_U23;Oedancala_sp.;Pachygronthidae;Pachygronthinae;Pachygronthini;Oedancala;sp;1
85;Harmostes_serratus_CMF_0401;Harmostes_serratus;Rhopalidae;Rhopalinae;Harmostini;Harmostes;sp;1
86;Jadera_haematoloma_CMF_0281;Jadera_haematoloma;Rhopalidae;Serinethinae;;Jadera;sp;1
87;Grammopoecilus_angustatus_CMF_0839;Grammopoecilus_angustatus;Coreidae;Coreinae;Nematopodini;Grammopoecilus;sp;1
88;Nematopus_lepidus_CMF_0071;Nematopus_lepidus;Coreidae;Coreinae;Nematopodini;Nematopus;sp;1
89;Lycambes_sargi_CMF_0049;Lycambes_sargi;Coreidae;Meropachyinae;Spathophorini;Lycambes;sp;1
90;Mozena_lineolata_CMF_0026;Mozena_lineolata (lunata);Coreidae;Coreinae;Nematopodini;Mozena;sp;1
92;Piezogaster_calcarator_CMF_0877;Piezogaster_calcarator;Coreidae;Coreinae;Nematopodini;Piezogaster;sp;1
93;Ouranion_serrulatus_CMF_0337;Ouranion_serrulatus;Coreidae;Coreinae;Nematopodini;Ouranion;sp;1
94;Melucha_quadrivittis_CMF_0157;Melucha_quadrivittis;Coreidae;Coreinae;Nematopodini;Melucha;sp;1
95;Thasus_neocalifornicus_CMF_0190;Thasus_neocalifornicus;Coreidae;Coreinae;Nematopodini;Thasus;sp;2
97;Agriopocoris_chadwicki_CMF_1143;Agriopocoris_chadwicki;Coreidae;Coreinae;Agriopocorini;Agriopocoris;sp;1
99;Agriopocostella_regulosa_CMF_1154;Agriopocostella_regulosa;Coreidae;Coreinae;Agriopocorini;Agriopocostella;sp;0
100;Tylocryptus_egenus_CMF_1142;Tylocryptus_egenus;Coreidae;Coreinae;Agriopocorini;Tylocryptus;sp;1
101;Hygia_sp_CMF_0809;Hygia_sp.;Coreidae;Coreinae;Colpurini;Hygia;sp;1
102;Typhlocolpura_chinai_CMF_0006;Typhlocolpura_chinai;Coreidae;Coreinae;Colpurini;Typhlocolpura;sp;1
103;Homalocolpura_parrilloi_CMF_0609;Homalocolpura_parrilloi;Coreidae;Coreinae;Colpurini;Homalocolpura;sp;0
104;Amorbus_alternatus_CMF_1086;Amorbus_alternatus;Coreidae;Coreinae;Amorbini;Amorbus;sp;1
105;Mirabilamorbus_n_sp_CMF_1149;Mirabilamorbus_sp.;Coreidae;Coreinae;Amorbini;Mirabilamorbus;sp;1
106;Gelonus_tasmanicus_CMF_1152;Gelonus_tasmanicus;Coreidae;Coreinae;Amorbini;Gelonus;sp;1
107;Anoplocnemis_curvipes_CMF_0332;Anoplocnemis_curvipes;Coreidae;Coreinae;Mictini;Anoplocnemis;sp;1
112;Elasmopoda_alata_CMF_0675;Elasmopoda_alata;Coreidae;Coreinae;Mictini;Elasmopoda;sp;1
113;Plectropoda_cruciata_CMF_0037;Plectropoda_cruciata;Coreidae;Coreinae;Mictini;Plectropoda;sp;1
115;Mygdonia_tuberculosa_CMF_0053;Mygdonia_tuberculosa;Coreidae;Coreinae;Mictini;Mygdonia;sp;1
116;Plectropodoides_dallastai_CMF_0854;Plectropodoides_dallastai;Coreidae;Coreinae;Mictini;Plectropodoides;sp;0
117;Dianomictis_expansa_CMF_0684;Dianomictis_expansa;Family;Coreinae;Mictini;Dianomictis;sp;1
118;Molipteryx_lunata_CMF_0818;Molipteryx_lunata;Coreidae;Coreinae;Mictini;Molipteryx;sp;1
119;Prionolomia_yunnanensis_CMF_0554;Prionolomia_yunnanensis;Coreidae;Coreinae;Mictini;Prionolomia;sp;1
120;Mictis_longicornis_CMF_0184;Mictis_longicornis;Coreidae;Coreinae;Mictini;Mictis;sp;1
121;Pternistria_bispina_CMF_0698;Pternistria_bispina;Coreidae;Coreinae;Mictini;Pternistria;sp;1
123;Cloresmus_antennatus_CMF_0634;Cloresmus_antennatus;Coreidae;Coreinae;Cloresmini;Cloresmus;sp;1
125;Notobitus_nr_affinis_CMF_0530;Notobitus_affinis;Coreidae;Coreinae;Cloresmini;Notobitus;sp;1
128;Dalader_planiventris_CMF_0737;Dalader_planiventris;Coreidae;Coreinae;Daladerini;Dalader;sp;2
129;Latimbus_concolor_CMF_0827;Latimbus_concolor;Coreidae;Coreinae;Latimbini;Latimbus;sp;1
131;Odontocurtus_consociatus_CMF_0694;Odontocurtus_consociatus;Coreidae;Coreinae;Daladerini;Odontocurtus;sp;0
132;Odontorhopala_callosa_CMF_0697;Odontorhopala_callosa;Coreidae;Coreinae;Daladerini;Odontorhopala;sp;1
133;Cletoliturus_lituripennis_CMF_0709;Cletoliturus_lituripennis;Coreidae;Coreinae;Gonocerini;Cletoliturus;sp;1
134;Cletomorpha_benita_CMF_0820;Cletomorpha_benita;Coreidae;Coreinae;Gonocerini;Cletomorpha;sp;1
136;Cletus_binotulatus_CMF_0767;Cletus_binotulatus;Coreidae;Coreinae;Gonocerini;Cletus;sp;1
139;Coreus_marginatus_CMF_0793;Coreus_marginatus;Coreidae;Coreinae;Coreini;Coreus;sp;1
140;Pephricus_paradoxus_CMF_0730;Pephricus_paradoxus;Coreidae;Coreinae;Phyllomorphini;Pephricus;sp;1
141;Tongorma_latreillii_CMF_0735;Tongorma_latreillii;Coreidae;Coreinae;Phyllomorphini;Tongorma;sp;1
142;Haidara_producta_CMF_0824;Haidara_producta;Coreidae;Coreinae;Coreini;Haidara;sp;1
143;Prionotylus_brevicornis_CMF_0916;Prionotylus_brevicornis;Coreidae;Coreinae;Prionotylini;Prionotylus;sp;1
144;Fracastorius_cornutus_CMF_0531;Fracastorius_cornutus;Coreidae;Coreinae;Homoeocerini;Fracastorius;sp;1
146;Homoeocerus_angulatus_CMF_0759;Homoeocerus_angulatus;Coreidae;Coreinae;Homoeocerini;Homoeocerus;sp;1
148;Prismatocerus_auriculatus_CMF_0734;Prismatocerus_auriculatus;Coreidae;Coreinae;Homoeocerini;Prismatocerus;sp;1
149;Galaesus_hasticornis_CMF_0701;Galaesus_hasticornis;Coreidae;Coreinae;Dasynini;Galaesus;sp;2
150;Manocoreus_yunnanensis_CMF_1133;Manocoreus_yunnanensis;Coreidae;Coreinae;Manocoreini;Manocoreus;sp;1
151;Althos_obscurator_CMF_0870;Althos_obscurator;Coreidae;Coreinae;Hypselonotini;Althos;sp;1
152;Vazquezitocoris_repletus_CMF_0851;Vazquezitocoris_repletus;Coreidae;Coreinae;Hypselonotini;Vazquezitocoris;sp;1
153;Catorhintha_guttula_CMF_0102;Catorhintha_guttula;Coreidae;Coreinae;Hypselonotini;Catorhintha;sp;1
155;Scolopocerus_secundarius_CMF_0808;Scolopocerus_secundarius;Coreidae;Coreinae;Hypselonotini;Scolopocerus;sp;1
156;Villasitocoris_inconspicuus_CMF_0822;Villasitocoris_inconspicuus;Coreidae;Coreinae;Hypselonotini;Villasitocoris;sp;1
157;Athaumastus_subterlineatus_CMF_0528;Athaumastus_sp.;Coreidae;Coreinae;Acanthocerini;Athaumastus;sp;1
158;Crinocerus_sanctus_CMF_0860;Crinocerus_sanctus;Coreidae;Coreinae;Acanthocerini;Crinocerus;sp;1
159;Euthochtha_galeator_CMF_0162;Euthochtha_galeator;Coreidae;Coreinae;Acanthocerini;Euthochtha;sp;1
160;Acanthocerus_crucifer_CMF_0541;Acanthocerus_cruciger;Coreidae;Coreinae;Acanthocerini;Acanthocerus;sp;1
161;Camptischium_clavipes_CMF_0548;Camptischium_clavipes;Coreidae;Coreinae;Acanthocerini;Camptischium;sp;1
162;Zoreva_lacerna_CMF_0813;Zoreva_lacerna;Coreidae;Coreinae;Acanthocerini;Zoreva;sp;1
165;Chariesterus_armatus_CMF_0744;Chariesterus_armatus;Coreidae;Coreinae;Chariesterini;Chariesterus;sp;2
166;Plapigus_abdominalis_CMF_0002;Plapigus_abdominalis;Coreidae;Coreinae;Chariesterini;Plapigus;sp;0
167;Hypselonotus_bitrianguliger_CMF_0073;Hypselonotus_bitrianguliger;Coreidae;Coreinae;Hypselonotini;Hypselonotus;sp;1
171;Merocoris_curtatus_CMF_0821;Merocoris_curtatus;Coreidae;Meropachyinae;Merocorini;Merocoris;sp;1
174;Cebrenis_danieli_CMF_0158;Cebrenis_danieli;Coreidae;Coreinae;Hypselonotini;Cebrenis;sp;1
175;Zicca_commaculata_CMF_0055;Zicca_commaculata;Coreidae;Coreinae;Hypselonotini;Zicca;sp;1
178;Leptoglossus_ashmeadi_CMF_0124;Leptoglossus_ashmeadi;Coreidae;Coreinae;Anisoscelini;Leptoglossus;sp;1
187;Phthiacnemia_picta_CMF_0350;Phthiacnemia_picta;Coreidae;Coreinae;Anisoscelini;Phthiacnemia;sp;1
188;Narnia_femorata_CMF_0111;Narnia_femorata;Coreidae;Coreinae;Anisoscelini;Narnia;sp;1
190;Leptoscelis_quadrisignatus_CMF_0076;Leptoscelis_quadrisignatus;Coreidae;Coreinae;Anisoscelini;Leptoscelis;sp;1
192;Anasa_andresii_CMF_0165;Anasa_andresii;Coreidae;Coreinae;Hypselonotini;Anasa;sp;1
194;Paryphes_pulchellus_CMF_0858;Paryphes_pulchellus;Coreidae;Coreinae;Hypselonotini;Paryphes;sp;1
198;Anisoscelis_alipes_CMF_0018;Anisoscelis_alipes;Coreidae;Coreinae;Anisoscelini;Anisoscelis;sp;1
200;Chondrocera_laticornis_CMF_0662;Chondrocera_laticornis;Coreidae;Coreinae;Anisoscelini;Chondrocera;sp;2
201;Holhymenia_sp_CMF_0051;Holhymenia_sp.;Coreidae;Coreinae;Anisoscelini;Holhymenia;sp;2
203;Chelinidea_tabulata_CMF_0233;Chelinidea_tabulata;Coreidae;Coreinae;Chelinideini;Chelinidea;sp;2
205;Plaxiscelis_limbata_CMF_0072;Plaxiscelis_limbata;Coreidae;Coreinae;Placoscelini;Plaxiscelis;sp;1
206;Stenoeurilla_aenescens_CMF_0083;Stenoeurilla_aenescens;Coreidae;Coreinae;Placoscelini;Stenoeurilla;sp;1
208;Laminiceps_vergarae_CMF_0800;Laminiceps_vergarae;Coreidae;Coreinae;Acanthocephalini;Laminiceps;sp;1
209;Petalops_distinctus_CMF_0810;Petalops_distinctus;Coreidae;Coreinae;Acanthocephalini;Petalops;sp;1
210;Stenometapodus_ambiguus_CMF_0845;Stenometapodus_ambiguus;Coreidae;Coreinae;Acanthocephalini;Stenometapodus;sp;1
212;Zygometapodus_castaneus_CMF_0798;Zygometapodus_castaneus;Coreidae;Coreinae;Acanthocephalini;Zygometapodus;sp;1
