",""x""",Species_Name,Family,Subfamily,Tribe,Genus,Species,Instar,Antennae,Antennomere_I,Antennomere_II,Antennomere_III,Reference,,,,,,,,,,,,,,,,,,
"18,""Alydus_calcaratus_CMF_0925""",Alydus_calcaratus,Alydidae,Alydinae,,Alydus,calcaratus,4,1,1,1,1,https://www.inaturalist.org/observations/170083019,,,,,,,,,,,,,,,,,,
"19,""Alydus_pilosulus_CMF_0775""",Alydus_pilosulus,Alydidae,Alydinae,,Alydus,pilosulus,5,1,1,1,1,https://www.inaturalist.org/observations/173540478,,,,,,,,,,,,,,,,,,
"20,""Burtinus_luteomarginatus_CMF_0901""",Burtinus_luteomarginatus,Alydidae,Alydinae,,Burtinus,luteomarginatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"21,""Neomegalotomus_rufipes_CMF_0098""",Neomegalotomus_rufipes,Alydidae,Alydinae,,Neomegalotomus,rufipes,5,1,1,1,1,https://www.inaturalist.org/observations/107884953,,,,,,,,,,,,,,,,,,
"22,""Apidaurus_conspersus_CMF_0900""",Apidaurus_conspersus,Alydidae,Alydinae,,Apidaurus,conspersus,5,1,1,1,1,https://www.inaturalist.org/observations/182876828,,,,,,,,,,,,,,,,,,
"23,""Camptopus_lateralis_CMF_0929""",Camptopus_lateralis,Alydidae,Alydinae,,Camptopus,lateralis,5,1,1,1,1,https://www.inaturalist.org/observations/182052478,,,,,,,,,,,,,,,,,,
"24,""Hamedius_incarnatus_CMF_0414""",Hamedius_incarnatus,Alydidae,Alydinae,,Hamedius,incarnatus,5,1,1,1,1,https://www.inaturalist.org/observations/204233141,,,,,,,,,,,,,,,,,,
"25,""Riptortus_pedestris_CMF_0878""",Riptortus_pedestris,Alydidae,Alydinae,,Riptortus,pedestris,3,1,1,1,1,https://www.inaturalist.org/observations/180756283,,,,,,,,,,,,,,,,,,
"26,""Riptortus_sp_CMF_0404""",Riptortus_sp.,Alydidae,Alydinae,,Riptortus,sp.,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"27,""Heegeria_tangirica_CMF_0961""",Heegeria_tangirica,Alydidae,Alydinae,,Heegeria,tangirica,5,1,1,1,1,https://www.inaturalist.org/observations/64169760,,,,,,,,,,,,,,,,,,
"28,""Nariscus_sp_CMF_0908""",Nariscus_sp.,Alydidae,Alydinae,,Nariscus,sp.,5,1,1,1,1,https://www.inaturalist.org/observations/336487380,,,,,,,,,,,,,,,,,,
"29,""Melanacanthus_margineguttatus_CMF_0418""",Melanacanthus_margineguttatus,Alydidae,Alydinae,,Melanacanthus,margineguttatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"30,""Melanacanthus_sp_CMF_0416""",Melanacanthus_sp.,Alydidae,Alydinae,,Melanacanthus,sp.,4,1,1,1,1,https://www.inaturalist.org/observations/197261079,,,,,,,,,,,,,,,,,,
"31,""Melanacanthus_scutellaris_CMF_0420""",Melanacanthus_scutellaris,Alydidae,Alydinae,,Melanacanthus,scutellaris,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"32,""Tenosius_sp_CMF_0966""",Tenosius_sp.,Alydidae,Alydinae,,Tenosius,sp.,5,1,1,1,1,https://www.inaturalist.org/observations/157034912,,,,,,,,,,,,,,,,,,
"33,""Hyalymenus_longispinus_CMF_0339""",Hyalymenus_longispinus,Alydidae,Alydinae,,Hyalymenus,longispinus,5,1,1,1,1,https://www.inaturalist.org/observations/229351594,,,,,,,,,,,,,,,,,,
"34,""Hyalymenus_sp_WTP_CMF_1139""",Hyalymenus_sp.1,Alydidae,Alydinae,,Hyalymenus,sp.1,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"35,""Hyalymenus_pulcher_CMF_0546""",Hyalymenus_pulcher,Alydidae,Alydinae,,Hyalymenus,pulcher,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"36,""Hyalymenus_sp_CMF_0336""",Hyalymenus_sp.2,Alydidae,Alydinae,,Hyalymenus,sp.2,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"37,""Anoplocerus_luteus_CMF_0989""",Anoplocerus_luteus,Coreidae,Pseudophloeinae,Pseudophloeini,Anoplocerus,luteus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"38,""Arenocoris_waltlii_CMF_0911""",Arenocoris_waltlii,Coreidae,Pseudophloeinae,Pseudophloeini,Arenocoris,waltlii,5,1,1,1,1,https://www.inaturalist.org/observations/200658088,,,,,,,,,,,,,,,,,,
"39,""Bathysolen_nubilus_CMF_0602""",Bathysolen_nubilus,Coreidae,Pseudophloeinae,Pseudophloeini,Bathysolen,nubilus,5,1,1,1,1,https://www.inaturalist.org/observations/192848496,,,,,,,,,,,,,,,,,,
"40,""Coriomeris_affinis_CMF_0935""",Coriomeris_affinis,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,affinis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"41,""Coriomeris_denticulatus_CMF_0979""",Coriomeris_denticulatus,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,denticulatus,5,1,1,1,1,https://www.inaturalist.org/observations/179553328,,,,,,,,,,,,,,,,,,
"42,""Coriomeris_nigricornis_CMF_0560""",Coriomeris_nigricornis,Coreidae,Pseudophloeinae,Pseudophloeini,Coriomeris,nigricornis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"43,""Strobilotoma_typhaecornis_CMF_0923""",Strobilotoma_typhaecornis,Coreidae,Pseudophloeinae,Pseudophloeini,Strobilotoma,typhaecornis,5,1,1,1,1,https://www.inaturalist.org/observations/65637859,,,,,,,,,,,,,,,,,,
"44,""Ceraleptus_gracilicornis_CMF_0988""",Ceraleptus_gracilicornis,Coreidae,Pseudophloeinae,Pseudophloeini,Ceraleptus,gracilicornis,5,1,1,1,1,https://www.inaturalist.org/observations/119867942,,,,,,,,,,,,,,,,,,
"45,""Nemocoris_falleni_CMF_0994""",Nemocoris_falleni,Coreidae,Pseudophloeinae,Pseudophloeini,Nemocoris,falleni,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"46,""Ceraleptus_obtusus_CMF_0931""",Ceraleptus_obtusus,Coreidae,Pseudophloeinae,Pseudophloeini,Ceraleptus,obtusus,5,1,1,1,1,https://www.inaturalist.org/observations/119867942,,,,,,,,,,,,,,,,,,
"47,""Hoplolomia_scabricula_CMF_0857""",Hoplolomia_scabricula,Coreidae,Pseudophloeinae,Pseudophloeini,Hoplolomia,scabricula,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"48,""Pseudomyla_cornuta_CMF_01122""",Pseudomyla_cornuta,Coreidae,Pseudophloeinae,Pseudophloeini,Pseudomyla,cornuta,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"49,""Psilolomia_brunneofusca_CMF_0803""",Psilolomia_brunneofusca,Coreidae,Pseudophloeinae,Pseudophloeini,Psilolomia,brunneofusca,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"50,""Psilolomia_parva_CMF_0871""",Psilolomia_parva,Coreidae,Pseudophloeinae,Pseudophloeini,Psilolomia,parva,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"51,""Mevanidea_hystrix_CMF_1088""",Mevanidea_hystrix,Coreidae,Pseudophloeinae,Pseudophloeini,Mevanidea,hystrix,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"52,""Mevanidea_spiniceps_CMF_0950_0953""",Mevanidea_spiniceps,Coreidae,Pseudophloeinae,Pseudophloeini,Mevanidea,spiniceps,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"53,""Paramyla_suspecta_CMF_0807""",Paramyla_suspecta,Coreidae,Pseudophloeinae,Pseudophloeini,Paramyla,suspecta,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"54,""Myla_sp_CMF_0091""",Myla_sp.,Coreidae,Pseudophloeinae,Pseudophloeini,Myla,sp.,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"55,""Vilga_dallasi_CMF_1047""",Vilga_dallasi,Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,dallasi,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"56,""Vilga_sanctipauli_CMF_1048""",Vilga_sanctipauli,Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,sanctipauli,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"57,""Vilga_westwoodi_CMF_1050""",Vilga_westwoodi,Coreidae,Pseudophloeinae,Pseudophloeini,Vilga,westwoodi,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"58,""Clavigralla_elongata_CMF_0944""",Clavigralla_elongata,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,elongata,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"59,""Clavigralla_minor_CMF_0334""",Clavigralla_minor,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,minor,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"60,""Clavigralla_shadabi_CMF_0056""",Clavigralla_pusilla,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,pusilla,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"61,""Clavigralla_pusilla_CMF_0952_0960""",Clavigralla_shadabi,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,shadabi,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"62,""Clavigralla_sp_CMF_0335""",Clavigralla_sp.,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,sp.,5,2,1,2,2,https://www.inaturalist.org/observations/346534482,,,,,,,,,,,,,,,,,,
"63,""Clavigralloides_acantharis_CMF_0797""",Clavigralloides_acantharis,Coreidae,Pseudophloeinae,Clavigrallini,Clavigralloides,acantharis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"64,""Gralliclava_horrens_CMF_1165""",Gralliclava_horrens,Coreidae,Pseudophloeinae,Clavigrallini,Gralliclava,horrens,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"65,""Gralliclava_sp_CMF_0745""",Gralliclava_sp.,Coreidae,Pseudophloeinae,Clavigrallini,Gralliclava,sp.,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"66,""Leptocorisa_acuta_CMF_0645""",Leptocorisa_acuta,Alydidae,Micrelytrinae,Leptocorisini,Leptocorisa,acuta,5,1,1,1,1,https://www.inaturalist.org/observations/175919013,,,,,,,,,,,,,,,,,,
"67,""Leptocorisa_bipunctata_CMF_0896""",Leptocorisa_bipunctata,Alydidae,Micrelytrinae,Leptocorisini,Leptocorisa,bipunctata,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"68,""Stenocoris_filiformis_CMF_0758""",Stenocoris_filiformis,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,filiformis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"69,""Stenocoris_furcifera_CMF_0879""",Stenocoris_furcifera,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,furcifera,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"70,""Stenocoris_sp_CMF_0315_STANDARD""",Stenocoris_sp.,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,sp.,5,1,1,1,1,https://www.inaturalist.org/observations/84617412,,,,,,,,,,,,,,,,,,
"71,""Stenocoris_tipuloides_CMF_0174""",Stenocoris_tipuloides,Alydidae,Micrelytrinae,Leptocorisini,Stenocoris,tipuloides,5,1,1,1,1,https://www.inaturalist.org/observations/84617412,,,,,,,,,,,,,,,,,,
"72,""Mutusca_brevicornis_CMF_0417""",Mutusca_brevicornis,Alydidae,Micrelytrinae,Leptocorisini,Mutusca,brevicornis,5,1,1,1,1,https://www.inaturalist.org/observations/197292500,,,,,,,,,,,,,,,,,,
"73,""Micrelytrinae_sp_CMF_0161_STANDARD""",Darmistus_sp.,Alydidae,Micrelytrinae,Micrelytrini,Darmistus,sp.,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"74,""Hydara_tenuicornis_CMF_0040""",Hydara_tenuicornis,Coreidae,Hydarinae,,Hydara,tenuicornis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"75,""Hydarella_chiangdaoensis_CMF_1129""",Hydarella_chiangdaoensis,Coreidae,Hydarinae,,Hydarella,chiangdaoensis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"76,""Hydaropsis_longirostris_CMF_0817""",Hydaropsis_longirostris,Coreidae,Hydarinae,,Hydaropsis,longirostris,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"77,""Madura_fuscoclavata_CMF_1078""",Madura_fuscoclavata,Coreidae,Hydarinae,,Madura,fuscoclavata,5,1,1,1,1,https://www.inaturalist.org/observations/215538495,,,,,,,,,,,,,,,,,,
"78,""Maduranoides_chemsaki_CMF_1017""",Maduranoides_chemsaki,Coreidae,Hydarinae,,Maduranoides,chemsaki,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"79,""Halyomorpha_halys_halhal1""",Halyomorpha_halys,Pentatomidae,Pentatominae,Cappaeini,Halyomorpha,halys,5,1,1,1,1,https://www.inaturalist.org/observations/197135153,,,,,,,,,,,,,,,,,,
"80,""Dysdercus_suturellus_CMF_0305""",Dysdercus_suturellus,Pyrrhocoridae,,,Dysdercus,suturellus,3,1,1,1,1,https://www.inaturalist.org/observations/53043391,,,,,,,,,,,,,,,,,,
"81,""Dysdercus_mimus_CMF_0110""",Dysdercus_mimus,Pyrrhocoridae,,,Dysdercus,mimus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"82,""Largus_sp_CMF_0230""",Largus_sp.,Largidae,Larginae,Largini,Largus,sp.,3,1,1,1,1,https://www.inaturalist.org/observations/179925755,,,,,,,,,,,,,,,,,,
"83,""Oncopeltus_fasciatus_oncfas1""",Oncopeltus_fasciatus,Lygaeidae,Lygaeinae,Lygaeini,Oncopeltus,fasciatus,3,1,1,1,1,https://www.inaturalist.org/observations/193648431,,,,,,,,,,,,,,,,,,
"84,""nr_Oedancala_sp_U23""",Oedancala_sp.,Pachygronthidae,Pachygronthinae,Pachygronthini,Oedancala,sp.,5,1,1,1,1,https://www.inaturalist.org/observations/176215642,,,,,,,,,,,,,,,,,,
"85,""Harmostes_serratus_CMF_0401""",Harmostes_serratus,Rhopalidae,Rhopalinae,Harmostini,Harmostes,serratus,5,1,1,1,1,https://www.inaturalist.org/observations/14472954,,,,,,,,,,,,,,,,,,
"86,""Jadera_haematoloma_CMF_0281""",Jadera_haematoloma,Rhopalidae,Serinethinae,,Jadera,haematoloma,5,1,1,1,1,https://www.inaturalist.org/observations/352048847,,,,,,,,,,,,,,,,,,
"87,""Grammopoecilus_angustatus_CMF_0839""",Grammopoecilus_angustatus,Coreidae,Coreinae,Nematopodini,Grammopoecilus,angustatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"88,""Nematopus_lepidus_CMF_0071""",Nematopus_lepidus,Coreidae,Coreinae,Nematopodini,Nematopus,lepidus,4,1,1,1,1,https://www.inaturalist.org/observations/331537937,,,,,,,,,,,,,,,,,,
"89,""Lycambes_sargi_CMF_0049""",Lycambes_sargi,Coreidae,Meropachyinae,Spathophorini,Lycambes,sargi,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"90,""Mozena_lineolata_CMF_0026""",Mozena_lineolata (lunata),Coreidae,Coreinae,Nematopodini,Mozena,lineolata (lunata),5,1,1,1,1,https://www.inaturalist.org/observations/119089311,,,,,,,,,,,,,,,,,,
"91,""Mozena_lurida_CMF_0050""",Mozena_lurida,Coreidae,Coreinae,Nematopodini,Mozena,lurida,5,1,1,1,1,https://www.inaturalist.org/observations/138281431,,,,,,,,,,,,,,,,,,
"92,""Piezogaster_calcarator_CMF_0877""",Piezogaster_calcarator,Coreidae,Coreinae,Nematopodini,Piezogaster,calcarator,4,1,1,1,1,https://www.inaturalist.org/observations/196162375,,,,,,,,,,,,,,,,,,
"93,""Ouranion_serrulatus_CMF_0337""",Ouranion_serrulatus,Coreidae,Coreinae,Nematopodini,Ouranion,serrulatus,4,1,1,1,1,https://www.inaturalist.org/observations/158318803,,,,,,,,,,,,,,,,,,
"94,""Melucha_quadrivittis_CMF_0157""",Melucha_quadrivittis,Coreidae,Coreinae,Nematopodini,Melucha,quadrivittis,4,2,1,1,2,https://www.inaturalist.org/observations/165530676,,,,,,,,,,,,,,,,,,
"95,""Thasus_neocalifornicus_CMF_0190""",Thasus_neocalifornicus,Coreidae,Coreinae,Nematopodini,Thasus,neocalifornicus,5,2,1,1,2,https://www.inaturalist.org/observations/195405114,,,,,,,,,,,,,,,,,,
"96,""Thasus_sp_CMF_0292""",Thasus_sp.,Coreidae,Coreinae,Nematopodini,Thasus,sp.,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"97,""Agriopocoris_chadwicki_CMF_1143""",Agriopocoris_chadwicki,Coreidae,Coreinae,Agriopocorini,Agriopocoris,chadwicki,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"98,""Agriopocoris_froggatti_CMF_1144""",Agriopocoris_froggatti,Coreidae,Coreinae,Agriopocorini,Agriopocoris,froggatti,4,1,1,1,1,https://www.inaturalist.org/observations/202005682,,,,,,,,,,,,,,,,,,
"99,""Agriopocostella_regulosa_CMF_1154""",Agriopocostella_regulosa,Coreidae,Coreinae,Agriopocorini,Agriopocostella,regulosa,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"100,""Tylocryptus_egenus_CMF_1142""",Tylocryptus_egenus,Coreidae,Coreinae,Agriopocorini,Tylocryptus,egenus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"101,""Hygia_sp_CMF_0809""",Hygia_sp.,Coreidae,Coreinae,Colpurini,Hygia,sp.,3,1,1,1,1,https://www.inaturalist.org/observations/149390405,,,,,,,,,,,,,,,,,,
"102,""Typhlocolpura_chinai_CMF_0006""",Typhlocolpura_chinai,Coreidae,Coreinae,Colpurini,Typhlocolpura,chinai,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"103,""Homalocolpura_parrilloi_CMF_0609""",Homalocolpura_parrilloi,Coreidae,Coreinae,Colpurini,Homalocolpura,parrilloi,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"104,""Amorbus_alternatus_CMF_1086""",Amorbus_alternatus,Coreidae,Coreinae,Amorbini,Amorbus,alternatus,3,1,1,1,1,https://www.inaturalist.org/observations/210637697,,,,,,,,,,,,,,,,,,
"105,""Mirabilamorbus_n_sp_CMF_1149""",Mirabilamorbus_sp.,Coreidae,Coreinae,Amorbini,Mirabilamorbus,sp.,5,1,1,1,1,https://www.inaturalist.org/observations/229878012,,,,,,,,,,,,,,,,,,
"106,""Gelonus_tasmanicus_CMF_1152""",Gelonus_tasmanicus,Coreidae,Coreinae,Amorbini,Gelonus,tasmanicus,5,1,1,1,1,https://www.inaturalist.org/observations/201350996,,,,,,,,,,,,,,,,,,
"107,""Anoplocnemis_curvipes_CMF_0332""",Anoplocnemis_curvipes,Coreidae,Coreinae,Mictini,Anoplocnemis,curvipes,5,1,1,1,1,https://www.inaturalist.org/observations/343817726,,,,,,,,,,,,,,,,,,
"108,""Anoplocnemis_phasiana_CMF_0761""",Anoplocnemis_phasiana,Coreidae,Coreinae,Mictini,Anoplocnemis,phasiana,3,1,1,1,1,https://www.inaturalist.org/observations/18684908,,,,,,,,,,,,,,,,,,
"109,""Anoplocnemis_sp_CMF_0020""",Anoplocnemis_sp.1,Coreidae,Coreinae,Mictini,Anoplocnemis,sp.1,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"110,""Anoplocnemis_sp_CMF_0052""",Anoplocnemis_sp.2,Coreidae,Coreinae,Mictini,Anoplocnemis,sp.2,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"111,""Elasmopoda_sp_CMF_0333""",Elasmopoda_sp.,Coreidae,Coreinae,Mictini,Elasmopoda,sp.,3,2,1,2,2,https://www.inaturalist.org/observations/256895625,,,,,,,,,,,,,,,,,,
"112,""Elasmopoda_alata_CMF_0675""",Elasmopoda_alata,Coreidae,Coreinae,Mictini,Elasmopoda,alata,5,2,1,1,2,https://www.inaturalist.org/observations/337334961,,,,,,,,,,,,,,,,,,
"113,""Plectropoda_cruciata_CMF_0037""",Plectropoda_cruciata,Coreidae,Coreinae,Mictini,Plectropoda,cruciata,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"114,""Plectropoda_sp_CMF_0022""",Plectropoda_sp.,Coreidae,Coreinae,Mictini,Plectropoda,sp.,5,1,1,1,1,https://www.inaturalist.org/observations/41114155,,,,,,,,,,,,,,,,,,
"115,""Mygdonia_tuberculosa_CMF_0053""",Mygdonia_tuberculosa,Coreidae,Coreinae,Mictini,Mygdonia,tuberculosa,5,1,1,1,1,https://www.inaturalist.org/observations/10056552,,,,,,,,,,,,,,,,,,
"116,""Plectropodoides_dallastai_CMF_0854""",Plectropodoides_dallastai,Coreidae,Coreinae,Mictini,Plectropodoides,dallastai,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"117,""Dianomictis_expansa_CMF_0684""",Dianomictis_expansa,Coreidae,Coreinae,Mictini,Dianomictis,expansa,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"118,""Molipteryx_lunata_CMF_0818""",Molipteryx_lunata,Coreidae,Coreinae,Mictini,Molipteryx,lunata,5,1,1,1,1,https://www.inaturalist.org/observations/86723540,,,,,,,,,,,,,,,,,,
"119,""Prionolomia_yunnanensis_CMF_0554""",Prionolomia_yunnanensis,Coreidae,Coreinae,Mictini,Prionolomia,yunnanensis,5,1,1,1,1,https://www.inaturalist.org/observations/265269222,,,,,,,,,,,,,,,,,,
"120,""Mictis_longicornis_CMF_0184""",Mictis_longicornis,Coreidae,Coreinae,Mictini,Mictis,longicornis,3,1,1,1,1,https://www.inaturalist.org/observations/94290250,,,,,,,,,,,,,,,,,,
"121,""Pternistria_bispina_CMF_0698""",Pternistria_bispina,Coreidae,Coreinae,Mictini,Pternistria,bispina,4,1,1,1,1,https://www.inaturalist.org/observations/145243959,,,,,,,,,,,,,,,,,,
"122,""Mictis_profana_CMF_0412""",Mictis_profana,Coreidae,Coreinae,Mictini,Mictis,profana,5,1,1,1,1,https://www.inaturalist.org/observations/199626380,,,,,,,,,,,,,,,,,,
"123,""Cloresmus_antennatus_CMF_0634""",Cloresmus_antennatus,Coreidae,Coreinae,Cloresmini,Cloresmus,antennatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"124,""Cloresmus_sp_CMF_0743""",Cloresmus_sp.,Coreidae,Coreinae,Cloresmini,Cloresmus,sp.,3,1,1,1,1,https://www.inaturalist.org/observations/31893825,,,,,,,,,,,,,,,,,,
"125,""Notobitus_nr_affinis_CMF_0530""",Notobitus_affinis,Coreidae,Coreinae,Cloresmini,Notobitus,affinis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"126,""Notobitus_sexguttatus_CMF_0747""",Notobitus_sexguttatus,Coreidae,Coreinae,Cloresmini,Notobitus,sexguttatus,3,1,1,1,1,https://www.inaturalist.org/observations/177057200,,,,,,,,,,,,,,,,,,
"127,""Notobitus_meleagris_CMF_0529""",Notobitus_meleagris,Coreidae,Coreinae,Cloresmini,Notobitus,meleagris,3,1,1,1,1,https://www.inaturalist.org/observations/320833880,,,,,,,,,,,,,,,,,,
"128,""Dalader_planiventris_CMF_0737""",Dalader_planiventris,Coreidae,Coreinae,Daladerini,Dalader,planiventris,5,2,1,1,2,https://www.inaturalist.org/observations/77203455,,,,,,,,,,,,,,,,,,
"129,""Latimbus_concolor_CMF_0827""",Latimbus_concolor,Coreidae,Coreinae,Latimbini,Latimbus,concolor,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
